artist,title,released,label,formats,chart,chart_position
Beyoncé,Dangerously in Love,"June 23, 2003 (UK)[39]",Columbia,"CD, LP, digital download",US,1
Beyoncé,Dangerously in Love,"June 23, 2003 (UK)[39]",Columbia,"CD, LP, digital download",AUS,2
Beyoncé,Dangerously in Love,"June 23, 2003 (UK)[39]",Columbia,"CD, LP, digital download",CAN,1
Beyoncé,Dangerously in Love,"June 23, 2003 (UK)[39]",Columbia,"CD, LP, digital download",FRA,14
Beyoncé,Dangerously in Love,"June 23, 2003 (UK)[39]",Columbia,"CD, LP, digital download",GER,1
Beyoncé,Dangerously in Love,"June 23, 2003 (UK)[39]",Columbia,"CD, LP, digital download",IRE,1
Beyoncé,Dangerously in Love,"June 23, 2003 (UK)[39]",Columbia,"CD, LP, digital download",JPN,4
Beyoncé,Dangerously in Love,"June 23, 2003 (UK)[39]",Columbia,"CD, LP, digital download",NZ,8
Beyoncé,Dangerously in Love,"June 23, 2003 (UK)[39]",Columbia,"CD, LP, digital download",SWE,2
Beyoncé,Dangerously in Love,"June 23, 2003 (UK)[39]",Columbia,"CD, LP, digital download",UK,1
Beyoncé,B'Day,"September 1, 2006 (US)[51]","Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download",US,1
Beyoncé,B'Day,"September 1, 2006 (US)[51]","Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download",AUS,8
Beyoncé,B'Day,"September 1, 2006 (US)[51]","Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download",CAN,3
Beyoncé,B'Day,"September 1, 2006 (US)[51]","Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download",FRA,12
Beyoncé,B'Day,"September 1, 2006 (US)[51]","Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download",GER,5
Beyoncé,B'Day,"September 1, 2006 (US)[51]","Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download",IRE,3
Beyoncé,B'Day,"September 1, 2006 (US)[51]","Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download",JPN,5
Beyoncé,B'Day,"September 1, 2006 (US)[51]","Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download",NZ,8
Beyoncé,B'Day,"September 1, 2006 (US)[51]","Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download",SWE,2
Beyoncé,B'Day,"September 1, 2006 (US)[51]","Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download",UK,3
Beyoncé,I Am... Sasha Fierce,"November 14, 2008","Music World, Columbia","CD, CD/DVD, digital download",US,1
Beyoncé,I Am... Sasha Fierce,"November 14, 2008","Music World, Columbia","CD, CD/DVD, digital download",AUS,3
Beyoncé,I Am... Sasha Fierce,"November 14, 2008","Music World, Columbia","CD, CD/DVD, digital download",CAN,6
Beyoncé,I Am... Sasha Fierce,"November 14, 2008","Music World, Columbia","CD, CD/DVD, digital download",FRA,20
Beyoncé,I Am... Sasha Fierce,"November 14, 2008","Music World, Columbia","CD, CD/DVD, digital download",GER,17
Beyoncé,I Am... Sasha Fierce,"November 14, 2008","Music World, Columbia","CD, CD/DVD, digital download",IRE,1
Beyoncé,I Am... Sasha Fierce,"November 14, 2008","Music World, Columbia","CD, CD/DVD, digital download",JPN,6
Beyoncé,I Am... Sasha Fierce,"November 14, 2008","Music World, Columbia","CD, CD/DVD, digital download",NZ,3
Beyoncé,I Am... Sasha Fierce,"November 14, 2008","Music World, Columbia","CD, CD/DVD, digital download",SWE,7
Beyoncé,I Am... Sasha Fierce,"November 14, 2008","Music World, Columbia","CD, CD/DVD, digital download",UK,2
Beyoncé,4,"June 24, 2011","Parkwood, Columbia","CD, digital download",US,1
Beyoncé,4,"June 24, 2011","Parkwood, Columbia","CD, digital download",AUS,2
Beyoncé,4,"June 24, 2011","Parkwood, Columbia","CD, digital download",CAN,3
Beyoncé,4,"June 24, 2011","Parkwood, Columbia","CD, digital download",FRA,2
Beyoncé,4,"June 24, 2011","Parkwood, Columbia","CD, digital download",GER,5
Beyoncé,4,"June 24, 2011","Parkwood, Columbia","CD, digital download",IRE,1
Beyoncé,4,"June 24, 2011","Parkwood, Columbia","CD, digital download",JPN,2
Beyoncé,4,"June 24, 2011","Parkwood, Columbia","CD, digital download",NZ,3
Beyoncé,4,"June 24, 2011","Parkwood, Columbia","CD, digital download",SWE,1
Beyoncé,4,"June 24, 2011","Parkwood, Columbia","CD, digital download",UK,1
Beyoncé,Beyoncé,"December 13, 2013","Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download",US,1
Beyoncé,Beyoncé,"December 13, 2013","Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download",AUS,1
Beyoncé,Beyoncé,"December 13, 2013","Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download",CAN,1
Beyoncé,Beyoncé,"December 13, 2013","Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download",FRA,10
Beyoncé,Beyoncé,"December 13, 2013","Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download",GER,11
Beyoncé,Beyoncé,"December 13, 2013","Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download",IRE,2
Beyoncé,Beyoncé,"December 13, 2013","Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download",JPN,1
Beyoncé,Beyoncé,"December 13, 2013","Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download",NZ,2
Beyoncé,Beyoncé,"December 13, 2013","Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download",SWE,4
Beyoncé,Beyoncé,"December 13, 2013","Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download",UK,2
